id,full_name,first_name,last_name,email,phone,country,city,age,gender,membership_years,login_frequency,session_duration_avg,pages_per_session,cart_abandonment_rate,wishlist_items,total_purchases,average_order_value,days_since_last_purchase,discount_usage_rate,returns_rate,email_open_rate,customer_service_calls,product_reviews_written,social_media_engagement_score,mobile_app_usage,payment_method_diversity,lifetime_value,credit_balance,churned,signup_quarter
1,Kim Berry,Chris,Russell,vhill@example.net,0712646918,USA,Houston,54,Female,2.4,0.0,21.9,2.9,79.4,3.0,11.7,106.24,19.0,28.8,15.6,21.5,7.0,0.0,0.0,13.0,1.0,930.74,2191.0,1,Q4
2,Vicki Reyes,Thomas,Hall,zpatton@example.org,0835313753,Canada,Montreal,33,Female,2.1,0.0,9.0,5.2,74.2,1.0,8.0,43.22,2.0,19.8,2.2,18.6,5.0,1.0,16.3,11.5,2.0,315.57,570.0,0,Q3
3,Jacob Watson,Dominique,Diaz,teresabowers@example.com,0862998379,Japan,Kyoto,37,Male,1.6,3.0,24.4,6.4,58.7,2.0,6.0,63.39,7.0,29.1,7.3,9.8,7.0,6.0,9.5,11.2,1.0,343.59,1962.0,0,Q2
4,Jack Myers,Paul,Cabrera,burtonsharon@example.net,0569803274,Australia,Sydney,31,Male,0.8,4.0,1.0,4.4,97.9,0.0,6.0,9.52,2.0,34.6,8.0,0.0,3.0,0.0,39.9,8.8,3.0,468.81,879.0,1,Q1
5,Ian Taylor,Jacob,Martinez,uhernandez@example.com,0546097723,Australia,Adelaide,44,Female,3.3,0.0,5.2,3.9,69.2,0.0,2.0,165.52,13.0,10.9,14.0,11.1,9.0,0.0,0.0,8.8,3.0,292.51,0.0,1,Q3
6,Dale Larson,Lauren,Terry,ggonzalez@example.com,0379541441,Canada,Vancouver,25,Male,2.6,12.0,21.0,8.1,53.8,1.0,10.4,140.42,17.0,45.6,1.5,1.1,5.0,2.0,36.7,14.7,5.0,1027.44,1475.0,0,Q4
7,Thomas Gonzales,Brittany,Nelson,okelly@example.org,0896816073,France,Lyon,44,Male,1.1,12.0,34.0,12.6,47.2,4.0,14.0,155.46,14.0,81.4,3.1,31.1,5.0,2.0,38.9,16.4,2.0,2037.58,2238.0,0,Q3
8,Aaron English,George,Mcpherson,william69@example.com,0810620214,USA,Los Angeles,19,Female,4.3,5.0,21.4,7.4,64.5,4.0,9.0,75.28,19.0,69.7,5.8,24.6,5.0,0.0,43.3,22.0,4.0,744.43,2648.0,0,Q2
9,Danny Hall,Alex,Davis,valerie69@example.org,0551893976,France,Paris,44,Female,0.9,6.0,31.6,7.1,45.4,3.0,14.0,10.8,60.0,18.5,4.8,25.7,5.0,4.0,17.2,17.9,1.0,160.59,2634.0,0,Q2
10,Daniel Wilkerson,Sharon,Williams,jessica73@example.net,0795619258,Canada,Toronto,36,Female,2.4,0.0,24.4,5.0,75.2,4.0,9.0,121.16,42.0,28.6,11.7,5.3,7.0,1.0,50.0,10.4,2.0,1033.82,2348.0,1,Q1
11,Charles Pitts,Whitney,Johns,tony23@example.com,0783393856,USA,Los Angeles,22,Male,1.8,5.0,14.5,6.0,57.3,0.0,8.0,86.97,12.0,81.0,8.5,10.5,7.0,0.0,17.6,25.6,1.0,605.35,1454.0,0,Q2
12,Brianna Richards,Ralph,Bird,boydkurt@example.net,0915105012,Germany,Berlin,20,Female,4.4,12.0,31.5,11.8,50.2,5.0,15.0,127.99,69.0,47.9,5.8,31.0,5.0,1.0,5.9,23.0,5.0,2014.65,2348.0,0,Q3
13,Vincent Rodriguez,Shelley,Rivers,richard02@example.net,0533795525,USA,New York,31,Female,2.4,11.0,16.8,4.8,64.2,1.0,7.0,57.96,54.0,21.7,10.8,33.3,10.0,1.0,3.3,2.5,3.0,486.36,0.0,0,Q1
14,Ashley Ford,Alyssa,Oliver,angela70@example.net,0717062429,UK,Leeds,35,Female,2.1,12.0,29.0,5.2,47.9,4.0,12.0,154.01,5.0,41.6,2.5,18.4,10.0,1.0,17.9,14.9,1.0,2016.17,2209.0,1,Q2
15,Gail Clark,Samuel,Smith,kaylamcintyre@example.org,0562321842,USA,Phoenix,40,Male,0.5,17.0,33.4,12.5,51.5,10.0,15.0,140.04,11.0,25.8,3.9,30.2,8.0,4.0,28.5,22.9,1.0,2308.73,2011.0,1,Q1
16,Jessica White DDS,Ashley,Campbell,joneshenry@example.org,0537156199,India,Hyderabad,37,Female,1.3,13.0,24.7,5.8,58.1,1.0,9.1,186.91,2.0,75.6,2.8,14.1,4.0,5.0,31.1,25.9,2.0,1449.67,1566.0,0,Q4
17,Brian Thompson,Eric,Welch,ygarcia@example.com,0855375536,Canada,Calgary,51,Male,0.4,3.0,10.2,6.9,81.6,4.0,5.0,93.55,20.0,9.6,2.5,11.5,7.0,1.0,8.5,8.0,2.0,54.08,1731.0,1,Q3
